ProfessorID,Course,Level
1,Linear Systems and control lab,Bachelor's
1,Modern control,Bachelor's
1,Digital Control and lab,Bachelor's
1,Lab.of Linear Control Systems,Bachelor's
1,Lab. Of Measurment and Circuit I,Bachelor's
1,Foundations of Modern Control and Digital Control,Master's
1,Control Software Laboratory,Bachelor's
1,Digital Control Systems,Bachelor's
1,Computer Applications in Control,Bachelor's
1,Electrical Workshop,Bachelor's
1,Electric Circuits II,Bachelor's
1,Measurement & Circuits Lab,Bachelor's
1,Linear Control Systems Lab,Bachelor's
1,Fundamentals of Electrical Engineering I,Bachelor's
1,Numerical Analysis & Mathematical Software Laboratory,Bachelor's
1,Robust Control,Master's
1,special topics in control(advaced nonlinear control),PhD
1,Numerical Analysis,Bachelor's
1,Linear Control System,Bachelor's
1,Lab. of Linear Control System,Bachelor's
1,Computer Application in Control,Bachelor's
2,Storage Energy,Master's
2,Power System Transients Analysis,Master's
2,Energy Distribution Systems,Master's
2,Electric Machinery,Bachelor's
2,Electric Machinery lab,Bachelor's
2,Electrical Machinery II,Bachelor's
2,Electrical Machinery III,Bachelor's
2,High voltage engineering,Bachelor's
2,Transmission line design & Project,Bachelor's
2,Electrical Installations & Project,Bachelor's
2,Power sab station design & Project,Bachelor's
2,Power System Analysis I,Bachelor's
2,Electrical Workshop,Bachelor's
2,Electrical Installations,Bachelor's
2,High-Voltage-Lab,Bachelor's
2,High Voltage Engineering,Bachelor's
2,Electrical Installations,Bachelor's
2,Electrical Workshop,Bachelor's
2,Electrical Machinery I,Bachelor's
2,Electrical Machinery II,Bachelor's
2,Electrical Machinery Lab I,Bachelor's
2,Power System Analysis I,Bachelor's
2,Fundamentals of Electrical Engineering I Lab,Bachelor's
2,Design of Electrical Machines,Master's
2,Energy Distribution Systems,Master's
2,Advanced High Voltage and Electrical Insulation,Master's
2,Power System Transients Analysis,PhD
2,Advanced High Voltage and Electrical Insulation,PhD
2,Electrical Installations,Bachelor's
3,Linear Systems and Control,Bachelor's
3,Linear Systems and control lab,Bachelor's
3,Linear Control Systems,Bachelor's
3,Electrical Workshop,Bachelor's
3,Lab.of Linear Control Systems,Bachelor's
3,Lab. Of Measurment and Circuit I,Bachelor's
3,System Identification,Master's
3,Linear Control System,Bachelor's
3,Modern Control Systems,Bachelor's
3,Measurement & Circuits Lab,Bachelor's
3,Linear Control Systems Lab,Bachelor's
3,Power System Analysis I,Bachelor's
3,Operations Research,Bachelor's
3,Engineering Mathematics,Bachelor's
3,Advanced Engineering Mathematics,Master's
3,System Identification,Master's
3,Linear Matrix Inequality on Control Systems,Master's
3,Stochastic Control,PhD
3,Convex Optimization,PhD
3,Digital and Nonlinear Control Systems,Bachelor's
3,Engineering Mathematics,Bachelor's
3,Linear Control Systems Lab,Bachelor's
3,Robust Control,Master's
4,Electrical Workshop,Bachelor's
4,Lab. Of Measurment and Circuit I,Bachelor's
4,High Voltage Substations Design,Bachelor's
4,Industrial Electronics,Bachelor's
4,Industrial Electronics Lab,Bachelor's
4,Power Plant and Energy Generation,Bachelor's
4,Electrical Workshop,Bachelor's
4,Measurement & Circuits Lab,Bachelor's
4,Electrical Machinery I,Bachelor's
4,Electrical Machinery II,Bachelor's
4,Power System Analysis I,Bachelor's
4,Distributed Generation,Master's
4,Flexible Ac Transmission Systems (FACTS),PhD
5,Communications II,Bachelor's
5,Sonar Systems,Master's
5,Communication Systems II,Bachelor's
5,Analog Filters and Network Synthesis,Bachelor's
5,Signals & Systems,Bachelor's
5,Digital Signal Processing,Bachelor's
5,Electrical Workshop,Bachelor's
5,Engineering Mathematics,Bachelor's
5,Electronics I Lab,Bachelor's
5,Signals and Systems,Bachelor's
5,Probability For Engineers,Bachelor's
5,Digital Signal Processing,Master's
5,Speetral Estimation,Master's
5,Sonar Systems,Master's
5,Sonar Systems,PhD
6,Advaced Communication Theory,Master's
6,Lab. Of Microwave,Bachelor's
6,Microwave and Anten,Bachelor's
6,Soft Working Skills,Bachelor's
