ProfessorID,Type,Authors,Paper_Title,Year,Journal_Conference,Processed_Title,Keywords
1,Journal,"1- Rahmanian F, Asemani M (2024/0)",Parameter-Dependent Positive Observers for LPV Positive Systems ,,,parameter dependent positive observers lpv positive systems,
1,Journal,"2- Rahmanian F, Asemani M (2023/9)",Quasi-LPV positive observer-based control of closed-loop deep brain stimulation systems ,,,quasi lpv positive observer based control closed loop deep brain stimulation systems,"control, based"
1,Journal,"3- Echreshavi Z, Shasadeghi M, Asemani M (2023/9)", Fuzzy Observer-Based Dynamic Sliding Mode Control: Unknown Input Rejection Approach ,,,fuzzy observer based dynamic sliding mode control unknown input rejection approach,"approach, control, based"
1,Journal,"4- Sedghi F, Neisarian S, Arefi M, Asemani M, Vafamand N (2023/8)",Practical Finite-Time Adaptive Sliding Mode Control for 5-link Biped Robot in the Presence of Uncertainty ,,,practical finite time adaptive sliding mode control 5 link biped robot presence uncertainty,control
1,Journal,"5- Bahrampour E, Asemani M, Dehghani M (2023/7)",Robust global synchronization of delayed incommensurate fractional-order gene regulatory networks ,,,robust global synchronization delayed incommensurate fractional order gene regulatory networks,
1,Journal,"6- Zare I, Setoodeh P, Asemani M (2023/7)",A controller management scheme for active fault-tolerant tracking: Linear discrete-time systems ,,,controller management scheme active fault tolerant tracking linear discrete time systems,
1,Journal,"7- Zare I, Setoodeh P, Asemani M (2023/6)",Active observer-based T-S fuzzy control scheme for maximum power point tracking in PV systems ,,,active observer based fuzzy control scheme maximum power point tracking pv systems,"control, based"
1,Journal,"8- Abbasi N, Dehghani M, Asemani M, Abolpour R (2023/5)",Robust observer design for LPV systems using Kronecker sum and direct searching ,,,robust observer design lpv systems using kronecker sum direct searching,using
1,Journal,"9- Bahrampour E, Asemani M, Dehghani M, Tavazoei M (2023/4)",Consensus Control Of Incommensurate Fractional-order Multi-agent Systems: An LMI Approach ,,,consensus control incommensurate fractional order multi agent systems lmi approach,"approach, control"
1,Journal,"10- Bahrampour E, Dehghani M, Asemani M, Abolpour R (2023/3)",Load frequency fractional order controller design for shipboard microgrids using direct search algorithm ,,,load frequency fractional order controller design shipboard microgrids using direct search algorithm,using
1,Journal,"11- Sabouri M, Siamak S, Dehghani M, Mohammadi M, Asemani M, Hesamzadeh M, Peric V (2023/10)",Increasing the resiliency of power systems in presence of GPS spoofing attacks: A data?driven deep?learning algorithm ,,,increasing resiliency power systems presence gps spoofing attacks data driven deep learning algorithm,
1,Journal,"12- Zare I, Asemani M, Setoodeh P (2023/10)",Active Adaptive Observer-Based Fault-Tolerant Control Strategy for a Class of T-S Fuzzy Systems With Unmeasurable Premise Variables ,,,active adaptive observer based fault tolerant control strategy class fuzzy systems unmeasurable premise variables,"control, based"
1,Journal,"13- NajarzadehMehdikhani R, Asemani M, Dehghani M, Shasadeghi M (2023/1)",Multi-Objective T-S Fuzzy Control of Covid-19 Spread Model: An LMI Approach ,,,multi objective fuzzy control covid 19 spread model lmi approach,"model, approach, control"
1,Journal,"14- Tavazoei M, Asemani M (2022/6)",Stability analysis of time-delay incommensurate fractional-order systems ,,,stability analysis time delay incommensurate fractional order systems,analysis
1,Journal,"15- Yazdi S, Khayatian A, Asemani M, Vafamand N (2022/6)",Designing an Optimal Reset Controller for TS Fuzzy Systems ,,,designing optimal reset controller ts fuzzy systems,
